Descrição produto;Preço;Código de barras;
DESINFETANTE ORIGINAL PINHO SOL FRASCO 500ML;RR$ 9,80;7891024194102;
CREME DE LEITE PIRACANJUBA CAIXA 200G;RR$ 5,50;7898215151784;
SABAO PO OMO LAV PERFEITA 400G;RR$ 11,90;7891150065284;
ARROZ PARBOILIZADO LONGO FINO URBANO 1KG;RR$ 9,90;7896038306053;
AÇUCAR UNIÃO REFINADO 1KG;RR$ 8,80;7891910000197;
CHOCOLATE MORANGUETE BEL 13G;RR$ 1,80;7896066729091;
CONFEITO DE CHOCOLATE AO LEITE M&MS PACOTE 45G;RR$ 4,90;7896423470697;
CHOCOLATE BRANCO RECHEIO CHOCOLATE TORTUGUITA PACOTE 15,5G;RR$ 2,60;7898142865068;
ACHOCOLATADO PÓ NESCAU LATA 200G;RR$ 10,90;7891000379585;
SALGADINHO DE BATATA ORIGINAL PRINGLES TUBO 104G;RR$ 14,90;7896004006277;
CREME DENTAL MENTA REFRESCANTE COLGATE MÁXIMA PROTEÇÃO ANTICÁRIES CAIXA 90G;RR$ 7,20;7891024134702;
LIMPADOR MULTIUSO COM ÁLCOOL LAVANDA VEJA GOLD SQUEEZE 500ML;RR$ 9,60;7891035210334;
ESCOVA DENTAL MACIA COLGATE CLASSIC CLEAN CABEÇA NORMAL;RR$ 6,20;7891024184509;
CHOCOLATE AO LEITE HERSHEYS PACOTE 82G;RR$ 7,80;7899970402814;
CHOCOLATE AO LEITE LACTA DIAMANTE NEGRO PACOTE 80G;RR$ 7,80;7622210674050;
CHOCOLATE BRANCO COOKIES N CREME HERSHEYS PACOTE 77G;RR$ 7,80;7899970402852;
BISCOITO COOKIE CHOCOLATE BAUDUCCO PACOTE 60G;RR$ 5,50;7891962054476;
TOALHA DE PAPEL FOLHA DUPLA SORELLA PACOTE 2 UN;RR$ 8,30;7896053460013;
SHAMPOO PANTENE HIDRATAÇÃO FRASCO 175ML;RR$ 16,90;7500435125383;
BISCOITO LEITE ISABELA PACOTE 350G;RR$ 6,90;7896022086831;
AMENDOIM HITTNUTS SEM PELE;RR$ 3,80;7896035691183;
BATATA PALHA TRADICIONAL YOKI SACHÊ 105G;RR$ 12,50;7891095031115;
SALGADINHO PRESUNTO FANDANGOS 35G;RR$ 6,20;7892840822849;
SALGADINHO BACON TORCIDA 70G;RR$ 4,20;7892840816865;
BATATA FRITA ONDULADA ORIGINAL ELMA CHIPS RUFFLES PACOTE 76G;RR$ 8,90;7892840818203;
SALGADINHO REQUEIJAO CHEETOS 40G;RR$ 5,90;7892840822309;
ESPONJA ASSOLAN 1UN;RR$ 3,20;7896090105007;
SALGADINHO QUEIJO TORCIDA 70G;RR$ 4,20;7892840816919;
SALGADINHO CHURRASCO TORCIDA 70G;RR$ 4,20;7892840816896;
LEITE COND 395G FRIMESA SEMI DESNATADO;RR$ 6,90;7896275982393;
ÁGUA MINERAL CRYSTAL 500ML;RR$ 3,50;7898944548015;
PAO FORMA INTEGRAL VISCONTI 400G;RR$ 8,90;7891962051345;
OVOS DE GALINHA MARUTANI 12UN;RR$ 13,90;7898019061210;
SUCO LARANJA INTEGRAL PRATS 900ML;RR$ 15,90;7898953148169;
SUCO UVA PRATS 900ML;RR$ 16,90;7898953148220;
BOLO GOTAS CHOCOLATE SANTA EDWIGES 250G;RR$ 7,90;7896064203586;
BOLO MESCLADO SANTA EDWIGES 200G;RR$ 7,90;7896064203579;
SUCO LARANJA INTEGRAL PRATS 300ML;RR$ 7,20;7898953148701;
PAO FORMA TRADICIONAL VISCONTI 400G;RR$ 8,50;7891962051338;
QUEIJO MUSSARELA FAT PRESIDENT 150G;RR$ 12,30;7898955617526;
VINHO TINTO SUAVE BORDO SAN MARTIN 750ML;RR$ 16,90;7896267702725;
VINHO CHILENO CABERNET SAUVIGNON EXPLORADOR 750 ml;RR$ 42,40;7808725408841;
REQUEIJÃO CREMOSO TRADICIONAL TIROL COPO 180G;RR$ 9,90;7896294900712;
SALSICHA HOT DOG AURORA 500GR;RR$ 11,90;7891164005412;
FAROFA DE MILHO PINDUCA PACOTE 400G;RR$ 11,90;7896015910600;
BEBIDA LÁCTEA UHT CHOCOLATE BATAVO CHOCO MILK CAIXA 200ML;RR$ 4,90;7891097013355;
OVOS GRANDES BRANCOS MARUTANI 12UN ;RR$ 11,90;7898019060053;
TRIDENT HORTELA E MENTA 8G;RR$ 2,70;7895800304211;
PAO LEITE FATIADO VO NEUSA 450G;RR$ 8,90;7898922435054;
